::1 - [30/Nov/2018:02:39:44 +0100] GET /fonts/IBMPlexSans-SemiBold-Latin1.woff2  HTTP/2.0 200 17516 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:39:44 +0100] GET /fonts/IBMPlexSans-Regular-Latin1.woff2  HTTP/2.0 200 16528 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:42:14 +0100] GET /api/v1/units  HTTP/2.0 200 72091 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:42:32 +0100] GET /api/v1/units  HTTP/2.0 200 72091 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:18 +0100] GET /api/v1/units  HTTP/2.0 200 72091 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:23 +0100] GET /api/v1/remits/2018-12-01/linee/380  HTTP/2.0 200 1012 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:23 +0100] GET /api/v1/remits/2018-12-01/linee/220  HTTP/2.0 200 1012 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:32 +0100] GET /api/v1/remits/2018-12-01/centrali  HTTP/2.0 200 2493 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:48 +0100] GET /api/v1/units  HTTP/2.0 200 72091 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:48 +0100] GET /api/v1/reports/01-01-2018/01-01-2019/centrali_tecnologia_daily  HTTP/2.0 200 6666 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:48 +0100] GET /api/v1/reports/25-11-2018/02-12-2018/centrali_tecnologia_hourly  HTTP/2.0 200 947 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:48 +0100] GET /api/v1/reports/25-11-2018/02-12-2018/centrali_zona_hourly  HTTP/2.0 200 966 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:48 +0100] GET /api/v1/reports/01-01-2018/01-01-2019/centrali_zona_daily  HTTP/2.0 200 9382 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:51 +0100] GET /api/v1/remits/2018-12-01/linee/380  HTTP/2.0 200 1012 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:51 +0100] GET /api/v1/remits/2018-12-01/linee/220  HTTP/2.0 200 1012 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:43:51 +0100] GET /api/v1/remits/2018-12-01/centrali  HTTP/2.0 200 2493 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:15 +0100] GET /api/v1/reports/17-01-2018/17-01-2019/centrali_tecnologia_daily  HTTP/2.0 200 6490 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:15 +0100] GET /api/v1/reports/17-01-2018/17-01-2019/centrali_zona_daily  HTTP/2.0 200 9139 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:15 +0100] GET /api/v1/reports/11-12-2018/18-12-2018/centrali_zona_hourly  HTTP/2.0 200 805 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:15 +0100] GET /api/v1/remits/2018-12-17/linee/380  HTTP/2.0 200 42 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:15 +0100] GET /api/v1/remits/2018-12-17/linee/220  HTTP/2.0 200 2135 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:15 +0100] GET /api/v1/reports/11-12-2018/18-12-2018/centrali_tecnologia_hourly  HTTP/2.0 200 794 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:15 +0100] GET /api/v1/remits/2018-12-17/centrali  HTTP/2.0 200 2019 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:27 +0100] GET /api/v1/remits/2018-07-16/linee/380  HTTP/2.0 200 1206 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:28 +0100] GET /api/v1/remits/2018-07-16/linee/220  HTTP/2.0 200 2279 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:28 +0100] GET /api/v1/remits/2018-07-16/centrali  HTTP/2.0 200 3434 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:33 +0100] GET /api/v1/reports/10-07-2018/17-07-2018/centrali_tecnologia_hourly  HTTP/2.0 200 1948 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:33 +0100] GET /api/v1/reports/10-07-2018/17-07-2018/centrali_zona_hourly  HTTP/2.0 200 1967 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:33 +0100] GET /api/v1/reports/16-08-2017/16-08-2018/centrali_tecnologia_daily  HTTP/2.0 200 7155 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:02:44:33 +0100] GET /api/v1/reports/16-08-2017/16-08-2018/centrali_zona_daily  HTTP/2.0 200 9964 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:37 +0100] GET /api/v1/units  HTTP/2.0 200 72091 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:37 +0100] GET /api/v1/reports/25-11-2018/02-12-2018/centrali_tecnologia_hourly  HTTP/2.0 200 947 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:37 +0100] GET /api/v1/reports/01-01-2018/01-01-2019/centrali_tecnologia_daily  HTTP/2.0 200 6666 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:37 +0100] GET /api/v1/reports/01-01-2018/01-01-2019/centrali_zona_daily  HTTP/2.0 200 9382 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:37 +0100] GET /api/v1/reports/25-11-2018/02-12-2018/centrali_zona_hourly  HTTP/2.0 200 966 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:42 +0100] GET /api/v1/remits/2018-12-01/linee/220  HTTP/2.0 200 1012 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:42 +0100] GET /api/v1/remits/2018-12-01/linee/380  HTTP/2.0 200 1012 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:05:50 +0100] GET /api/v1/remits/2018-12-01/centrali  HTTP/2.0 200 2493 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
::1 - [30/Nov/2018:03:06:39 +0100] GET /api/v1/reports/25-11-2018/02-12-2018/centrali_tecnologia_hourly  HTTP/2.0 200 947 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
